,Cusine,Total No Of Restaurents,Average Score
0,American,227,15.107580377215282
1,Asian,11,21.391464434994703
2,Caribbean,3,13.183333333333332
3,Chinese,79,15.905323865080849
4,Donuts,34,11.928992727956247
5,Indian,8,15.768127705627704
6,Italian,74,16.241911394478066
7,Japanese,37,17.262685680752906
8,Korean,1,18.352941176470587
9,Mediterranean,9,17.40217258794845
10,Mexican,39,15.984708984501586
11,Seafood,4,12.628348214285715
12,Spanish,18,19.012134608363652
13,Thai,3,19.394529914529915
