,Cusine,Total No Of Restaurents,Average Score
0,American,442,13.44407293336487
1,Asian,4,13.996103896103895
2,Caribbean,112,16.70463003750051
3,Chinese,319,14.198909918600327
4,Donuts,70,12.409555175810153
5,Indian,9,17.02418451918452
6,Italian,49,15.820834974348852
7,Japanese,19,13.489587728208338
8,Mediterranean,6,16.83263888888889
9,Mexican,101,16.239063202600136
10,Seafood,23,15.399212984496092
11,Spanish,146,17.058954509875736
12,Thai,6,13.074130434782608
