,STREET,SCORE,#Hotels
148,CHURCH ST,81.12166086144603,16
149,ALLEN ST,81.10368581821868,17
150,BOWERY,80.80857807290482,41
151,DYCKMAN STREET,80.78270985065143,19
152,W 39TH ST,80.74733287477557,17
153,MOTT STREET,80.62244003794584,34
154,WEST   36 STREET,79.98190042463428,16
155,EAST BROADWAY,79.88303212563633,21
156,EAST   45 STREET,79.51736150815685,15
157,EAST  116 STREET,78.34864730690526,18
